"text","rt","key_press","block_duration","timing_post_trial","exp_id","trial_type","trial_index","time_elapsed","internal_node_id","full_screen","focus_shifts","view_history","exp_stage","trial_id","qnum","page_num","trial_num","stim_question","stim_response","score_response","response_range","times_viewed"
"","15776","","","","ravens","poldrack-survey-multi-choice","23","457382","0.0-6.0","","","","","","1","1","0","<div><img src = ""images/top_1.jpg""</img></div><div><img src = ""images/bottom_1.jpg"" id=""bottom_img""</img></div>","B","1","1,8","1"
"","16000","","","","ravens","poldrack-survey-multi-choice","23","457382","0.0-6.0","","","","","","1","2","1","<div><img src = ""images/top_2.jpg""</img></div><div><img src = ""images/bottom_2.jpg"" id=""bottom_img""</img></div>","G","0","1,8","1"
"","15308","","","","ravens","poldrack-survey-multi-choice","23","457382","0.0-6.0","","","","","","1","3","2","<div><img src = ""images/top_3.jpg""</img></div><div><img src = ""images/bottom_3.jpg"" id=""bottom_img""</img></div>","G","1","1,8","1"
"","19431","","","","ravens","poldrack-survey-multi-choice","23","457382","0.0-6.0","","","","","","1","4","3","<div><img src = ""images/top_4.jpg""</img></div><div><img src = ""images/bottom_4.jpg"" id=""bottom_img""</img></div>","B","1","1,8","1"
"","13528","","","","ravens","poldrack-survey-multi-choice","23","457382","0.0-6.0","","","","","","1","5","4","<div><img src = ""images/top_5.jpg""</img></div><div><img src = ""images/bottom_5.jpg"" id=""bottom_img""</img></div>","B","0","1,8","1"
"","12665","","","","ravens","poldrack-survey-multi-choice","23","457382","0.0-6.0","","","","","","1","6","5","<div><img src = ""images/top_6.jpg""</img></div><div><img src = ""images/bottom_6.jpg"" id=""bottom_img""</img></div>","E","0","1,8","1"
"","19952","","","","ravens","poldrack-survey-multi-choice","23","457382","0.0-6.0","","","","","","1","7","6","<div><img src = ""images/top_7.jpg""</img></div><div><img src = ""images/bottom_7.jpg"" id=""bottom_img""</img></div>","E","1","1,8","1"
"","7984","","","","ravens","poldrack-survey-multi-choice","23","457382","0.0-6.0","","","","","","1","8","7","<div><img src = ""images/top_8.jpg""</img></div><div><img src = ""images/bottom_8.jpg"" id=""bottom_img""</img></div>","C","0","1,8","1"
"","23401","","","","ravens","poldrack-survey-multi-choice","23","457382","0.0-6.0","","","","","","1","9","8","<div><img src = ""images/top_9.jpg""</img></div><div><img src = ""images/bottom_9.jpg"" id=""bottom_img""</img></div>","H","0","1,8","1"
"","11847","","","","ravens","poldrack-survey-multi-choice","23","457383","0.0-6.0","","","","","","1","10","9","<div><img src = ""images/top_10.jpg""</img></div><div><img src = ""images/bottom_10.jpg"" id=""bottom_img""</img></div>","G","0","1,8","1"
"","10302","","","","ravens","poldrack-survey-multi-choice","23","457383","0.0-6.0","","","","","","1","11","10","<div><img src = ""images/top_11.jpg""</img></div><div><img src = ""images/bottom_11.jpg"" id=""bottom_img""</img></div>","A","1","1,8","1"
"","20105","","","","ravens","poldrack-survey-multi-choice","23","457383","0.0-6.0","","","","","","1","12","11","<div><img src = ""images/top_12.jpg""</img></div><div><img src = ""images/bottom_12.jpg"" id=""bottom_img""</img></div>","A","0","1,8","1"
"","12200","","","","ravens","poldrack-survey-multi-choice","23","457383","0.0-6.0","","","","","","1","13","12","<div><img src = ""images/top_13.jpg""</img></div><div><img src = ""images/bottom_13.jpg"" id=""bottom_img""</img></div>","A","1","1,8","1"
"","18781","","","","ravens","poldrack-survey-multi-choice","23","457383","0.0-6.0","","","","","","1","14","13","<div><img src = ""images/top_14.jpg""</img></div><div><img src = ""images/bottom_14.jpg"" id=""bottom_img""</img></div>","H","0","1,8","1"
"","18103","","","","ravens","poldrack-survey-multi-choice","23","457383","0.0-6.0","","","","","","1","15","14","<div><img src = ""images/top_15.jpg""</img></div><div><img src = ""images/bottom_15.jpg"" id=""bottom_img""</img></div>","F","0","1,8","1"
"","27536","","","","ravens","poldrack-survey-multi-choice","23","457383","0.0-6.0","","","","","","1","16","15","<div><img src = ""images/top_16.jpg""</img></div><div><img src = ""images/bottom_16.jpg"" id=""bottom_img""</img></div>","F","0","1,8","1"
"","9064","","","","ravens","poldrack-survey-multi-choice","23","457383","0.0-6.0","","","","","","1","17","16","<div><img src = ""images/top_17.jpg""</img></div><div><img src = ""images/bottom_17.jpg"" id=""bottom_img""</img></div>","A","0","1,8","1"
"","23528","","","","ravens","poldrack-survey-multi-choice","23","457383","0.0-6.0","","","","","","1","18","17","<div><img src = ""images/top_18.jpg""</img></div><div><img src = ""images/bottom_18.jpg"" id=""bottom_img""</img></div>","A","0","1,8","1"
"","295513","","","","ravens","poldrack-survey-multi-choice","23","457384","0.0-6.0","true","0","[{""page_index"":0,""viewing_time"":15776},{""page_index"":1,""viewing_time"":16000},{""page_index"":2,""viewing_time"":15308},{""page_index"":3,""viewing_time"":19431},{""page_index"":4,""viewing_time"":13528},{""page_index"":5,""viewing_time"":12665},{""page_index"":6,""viewing_time"":19952},{""page_index"":7,""viewing_time"":7984},{""page_index"":8,""viewing_time"":23401},{""page_index"":9,""viewing_time"":11847},{""page_index"":10,""viewing_time"":10302},{""page_index"":11,""viewing_time"":20105},{""page_index"":12,""viewing_time"":12200},{""page_index"":13,""viewing_time"":18781},{""page_index"":14,""viewing_time"":18103},{""page_index"":15,""viewing_time"":27536},{""page_index"":16,""viewing_time"":9064},{""page_index"":17,""viewing_time"":23528}]","","","","","","","","","",""
"","2214","13","","","ravens","text","24","460598","0.0-7.0","true","0","","","","","","","","","","",""
